,training MSE,training MSE 95% CI (lower bound),training MSE 95% CI (upper bound),training MAE,training R2,validation MSE,validation MSE 95% CI (lower bound),validation MSE 95% CI (upper bound),validation MAE,validation R2,test MSE,test MSE 95% CI (lower bound),test MSE 95% CI (upper bound),test MAE,test R2
LR,0.16470254012156746,0.13052554649950154,0.19887953374363337,0.2939164122842886,0.6677675231783674,0.22905573524090572,0.0994513747254597,0.3586600957563517,0.34966574454299904,0.552354836748209,0.131673461160319,0.06451859699757335,0.19882832532306466,0.274362362122693,0.7399865830251928
EN,0.23326140532460538,0.18742677329048713,0.2790960373587236,0.34851178557728507,0.5294728643487367,0.2529067418723413,0.1444438904365693,0.3613695933081133,0.38284447921993514,0.5057426541454926,0.19317913712634655,0.11901696073518953,0.26734131351750356,0.3281964661060465,0.6185323368137967
Lasso,0.23708738031715706,0.19247536181612349,0.2816993988181906,0.35386927645140764,0.5217552350571979,0.2601487898155944,0.1488348618011324,0.37146271783005647,0.3913889220211475,0.49158947116395646,0.20350714822566468,0.12513342825487006,0.2818808681964593,0.3425636637789645,0.5981377832505863
Ridge,0.1647025506504858,0.1305194039287155,0.19888569737225612,0.29390312354093356,0.6677675019397842,0.22907799864561532,0.09944346762632958,0.3587125296649011,0.3496524296736403,0.552311327226715,0.1316777646235334,0.06450569345062414,0.19884983579644266,0.27433949185720546,0.7399780850472
l-SVR,2194.2902398357487,117.41026515100248,4271.1702145204945,7.947382825637336,-4425.249168398235,2057.149829577003,-1261.0678990712581,5375.367558225264,10.357864872058942,-4019.301741521023,8117.641693247482,-2625.997757076095,18861.28114357106,18.62354747917678,-16028.773470210219
r-SVR,0.04301425243950295,,,0.06478194378555183,0.9132330830109907,0.05470975492212299,,,0.13282649568234087,0.8930803581590233,0.026465788120282312,,,0.08238300161238162,0.9477384437118476
RF,0.022169506653948515,,,0.058756435545858625,0.9552804097610241,0.03271141425080371,,,0.08525376226784614,0.9360718632209871,0.01325078030050292,,,0.05153933961563819,0.973833902191412
GBDT,0.007307413286059364,,,0.03516692334605324,0.9852597293678964,0.01363225237469601,,,0.05799282806760197,0.9733583975387374,0.002129967120196214,,,0.03162537179172553,0.9957939889778404
ANN,0.010908946099415614,,,0.044401882020097115,0.977994837362876,0.005887768674806354,,,0.04523461617407252,0.9884934940971878,0.003220384889928163,,,0.042200882465411454,0.9936407589515343
